"PlatesH2v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
125.114,113.563,2275.27,3384.79,210.144,5920.13,293
156.393,132.381,618.146,3556.9,208.956,5515.1,294
234.589,173.026,1783.58,3447.28,212.707,4581.4,295
250.228,193.153,4459.06,3367.28,212.957,5863.69,296
156.393,130.087,1854.77,3657.18,213.458,4460.5,297
15.6393,18.7876,4461.56,3355.09,214.208,7180,298
1563.93,653.364,2627.41,3613.72,222.41,3139.3,299
125.114,103.047,751.687,3631.42,217.959,4247,300
359.703,240.45,1215.25,3207,229.321,3767.13,301
406.621,287.989,3452.51,3236.11,231.04,4450.88,302
15.6393,18.7876,3896.39,3250.06,224.211,6384,303
156.393,127.47,1096.54,3338.33,227.462,4926.8,304
766.323,386.799,2147.34,3358.92,229.315,3038.1,305
46.9178,50.4766,4309.85,3377.6,225.878,6664.67,306
109.475,105.352,854.754,3187.54,229.212,4202,307
109.475,104.587,1531.75,3207.54,229.57,4747.71,308
172.032,141.901,3411.47,3265.74,228.53,5009.45,309
78.1963,76.2385,1947.3,3332.08,228.212,5471.8,310
31.2785,35.281,4554.09,3566.4,229.212,7065.5,311
297.146,202.462,4363.77,3650.97,234.346,4501.95,312
218.95,161.515,1962.05,3670.9,236.715,3637.21,313
125.114,103.047,931.741,3203.79,237.965,5089.13,314
1720.32,687.941,4513.08,3281.52,244.058,3128.15,315
156.393,127.47,4295.01,3380.85,239.966,4948.8,316
46.9178,50.4766,4669.13,3601.83,237.548,7101,317
375.342,251.287,1831.39,3310.07,244.321,4357.04,318
31.2785,35.281,3152.42,3537.64,241.716,6131,319
25179.2,4195.44,4093.73,3574.32,257.791,2486.06,320
375.342,242.081,2153.05,3271.1,247.343,3632.13,321
578.652,327.357,562.676,3639.63,247.664,3254.43,322
31.2785,35.281,1113.05,3646.43,244.217,6773,323
265.867,188.483,1183.21,3287.86,249.366,4007.41,324
78.1963,76.2281,4090.45,3291.57,247.218,4563.4,325
15.6393,18.7876,2175.87,3230.05,249.219,7228,326
1423.17,611.864,3919.75,3380.29,256.611,2741.54,327
31.2785,35.281,656.658,3622.67,249.219,6890,328
15.6393,18.7876,1665.71,3395.1,251.719,7375,329
359.703,239.704,546.679,3439.46,256.612,3987.17,330
500.456,294.651,604.767,3578.91,255.861,3865.41,331
31.2785,35.2916,1710.73,3612.67,252.97,5289,332
62.557,64.6452,2815.44,3643.3,252.97,4721,333
437.899,298.202,1978.31,3370.72,258.418,5022.07,334
125.114,110.252,4352.47,3541.71,256.721,6116.13,335
203.31,154.54,4686.44,3283.91,261.53,4238,336
46.9178,50.4766,3178.67,3366.76,260.055,6154.33,337
