"PlatesH3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
2126.94,785.876,3515.24,3432.81,837.785,3016.96,340
31.2785,35.2916,1548.8,3460.91,832.177,6452.5,341
218.95,161.515,1587.56,3088.29,836.642,4370.5,342
359.703,232.842,4602.23,3108.41,837.559,3785.3,343
187.671,148.583,3721.54,3142.68,836.97,4622.83,344
62.557,63.3781,2991.74,3242.09,834.677,5712.5,345
125.114,103.047,1767.61,3032.03,837.178,3964.5,346
15.6393,18.7876,1351.24,3338.37,838.428,5759,347
547.374,318.319,3446.8,3471.69,846.574,3349.17,348
31.2785,35.281,1962.67,3503.42,843.43,6849,349
31.2785,35.281,1287.47,3208.33,845.931,5349.5,350
312.785,224.519,1979.93,3032.53,852.308,4455.15,351
31.2785,35.281,1528.79,3039.53,848.431,6701,352
78.1963,76.2281,2920.71,3197.33,848.932,5424.2,353
15.6393,18.7876,2193.99,3030.77,850.932,6254,354
31.2785,35.2916,646.023,3293.35,852.183,6249,355
953.995,519.2,3124.4,3323.12,857.492,3490.67,356
78.1963,79.5489,3709.45,3083.29,855.934,5768.6,357
62.557,64.3535,980.5,3146.44,856.559,5775.25,358
359.703,231.827,2899.1,3497,858.652,3685.22,359
125.114,112.255,3284.95,3381.19,861.56,5374.25,360
31.2785,35.281,1791.37,3414.64,865.937,7025,361
78.1963,81.108,2137.98,3333.37,871.438,6208.6,362
93.8355,86.8047,1034.89,3467.57,874.273,5816.5,363
93.8355,86.8047,734.8,3210,877.607,5995.5,364
172.032,137.021,3571.23,3272.89,877.077,4828.73,365
187.671,150.897,1409.17,3071.83,882.192,3938.08,366
265.867,193.122,4144,3142.13,880.941,4272.82,367
250.228,180.302,2295.9,3406.67,881.098,3789.13,368
125.114,103.047,3410.61,3504.67,879.691,4351.63,369
265.867,188.544,926.109,3126.54,883.883,4273.71,370
1845.43,719.66,2843.22,3414.68,888.338,2853.21,371
125.114,103.047,1662.58,3032.03,884.692,3490.38,372
109.475,96.0732,2320.46,3337.3,884.871,5655.57,373
218.95,166.093,4131.19,3303.72,887.908,4680.07,374
203.31,159.421,4414.48,3345.49,888.636,4877.23,375
172.032,142.645,4045.69,3368.83,887.307,5214.18,376
46.9178,50.4766,1159.51,3385.88,886.776,6499,377
31.2785,35.281,4610.98,3528.43,885.943,6434,378
46.9178,50.4766,4237.11,3062.45,889.277,6884.33,379
78.1963,76.2281,3342.84,3211.83,890.444,5755.8,380
1110.39,508.353,1046.07,3492.99,894.784,2321.48,381
281.507,229.742,2425.31,3140.81,896.224,5404.72,382
265.867,187.246,3275.2,3416.19,895.946,3816.82,383
46.9178,50.4662,1269.55,3514.26,893.445,6046,384
250.228,180.261,1300.91,3356.34,897.821,3979.25,385
15.6393,18.7876,4687.25,3220.83,898.447,7442,386
703.766,396.58,3713.18,3250.51,903.837,4222.24,387
15.6393,18.7876,2073.96,3448.4,898.447,5727,388
78.1963,76.2385,1090.66,3189.82,902.448,5122.6,389
7319.17,1789.02,2436.46,3065.65,913.569,1795.59,390
62.557,64.3535,1050.52,3113.93,904.073,5517.5,391
46.9178,50.4766,763.559,3240.01,905.115,6898,392
15.6393,18.7876,2586.61,3260.84,903.448,6919,393
422.26,270.177,1404.03,3296.13,909.005,3756.52,394
3659.59,1134.95,833.153,3436.5,911.848,2458.21,395
203.31,156.876,3413.21,3476.49,906.334,3810.85,396
31.2785,35.2916,3456.88,3445.9,907.199,7371.5,397
46.9178,50.4766,4664.74,3084.96,910.117,5596.33,398
46.9178,50.4662,1232.87,3176.65,908.45,5548.33,399
172.032,140.289,2889.21,3424.3,913.451,4248,400
187.671,147.274,1994.56,3444.23,913.034,4442.75,401
78.1963,76.2385,2477.08,3184.82,914.452,4563.6,402
46.9178,50.4766,4331.31,3130.81,916.786,6824.33,403
78.1963,76.2385,3163.29,3196.33,917.452,6370.8,404
31.2785,35.281,2057.7,3035.78,918.453,7113,405
31.2785,35.2916,4364.65,3173.32,919.703,5838.5,406
1079.11,498.088,2545.01,3265.45,925.738,2595.93,407
62.557,66.9807,2619.12,3371.5,922.829,5522.25,408
578.652,331.806,3456.67,3430.96,926.293,7991.78,409
484.817,290.602,2885.33,3107.98,928.052,4043.74,410
62.557,63.3781,4323.39,3100.8,929.706,4558.25,411
15.6393,18.7876,2629.13,3410.89,928.456,6514,412
46.9178,50.4766,3154.29,3184.99,932.624,6202.33,413
62.557,64.3535,3712.58,3192.7,932.832,5943.5,414
46.9178,50.4662,1550.46,3314.19,930.957,6964.67,415
15.6393,18.7876,1411.26,3460.91,930.957,7016,416
46.9178,51.7438,2068.12,3506.75,931.79,7054,417
140.753,119.5,4647.52,3334.76,934.569,5860.22,418
172.032,140.3,2838.74,3343.6,936.64,5312.64,419
31.2785,35.281,4602.23,3402.14,933.457,7069,420
187.671,147.566,4002.04,3494.67,935.958,5560.5,421
15.6393,18.7876,3111.77,3048.28,943.46,7424,422
250.228,181.528,3932.02,3326.02,945.492,4839.81,423
15.6393,18.7876,2274.02,3370.88,943.46,5477,424
62.557,63.3573,4238.36,3389.63,943.46,6634.25,425
93.8355,86.8047,2407.81,3375.05,947.628,4963.67,426
140.753,119.5,4026.77,3109.69,949.851,4673.67,427
