"PlatesV3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
203.31,154.54,2109.36,3629.37,770.611,2917.23,394
31.2785,35.2916,3408.6,3339.09,771.284,5811,395
15.6393,18.7876,732.789,3466.62,770.034,5814,396
156.393,145.031,1114.16,3646.68,773.035,3798.5,397
62.557,64.3534,1621.18,3148.4,773.16,5094.5,398
15.6393,18.7876,2848.43,3321.58,772.535,4736,399
234.589,177.947,3303.07,3573.49,775.702,3437.47,400
156.393,126.495,2159.47,3645.68,775.536,2774.3,401
172.032,140.341,4515.3,3245.88,778.9,3304.36,402
422.26,265.466,728.899,3358.54,782.075,3421.7,403
484.817,291.963,700.683,3241.96,784.313,2757.71,404
62.557,63.3781,2564.6,3341.59,783.788,4435.5,405
109.475,99.6755,2732.68,3537.72,785.396,4568.86,406
46.9178,51.7438,3747.87,3424.94,785.872,5131.33,407
1016.55,477.016,1734.21,3262.45,792.81,2612.42,408
656.849,361.308,2129.17,3462.69,791.767,3232,409
156.393,126.495,2337.03,3530.64,790.54,3162.1,410
3143.49,1037.76,742.208,3404.47,797.493,2326.9,411
15.6393,18.7876,2333.28,3419.11,790.04,6073,412
437.899,284.285,702.959,3510.83,792.452,3780.04,413
156.393,130.046,630.758,3208.8,794.041,3982.7,414
15.6393,18.7876,3643.67,3279.07,792.541,5211,415
187.671,149.891,2009.22,3297.2,795.042,4246.42,416
281.507,195.457,4479.34,3236.55,797.542,3743.11,417
31.2785,35.2916,2568.35,3329.08,796.292,5560.5,418
15.6393,18.7876,722.786,3504.14,795.042,4955,419
125.114,110.252,2186.67,3550.4,798.48,4504.13,420
2815.07,1050.35,2833.25,3209.09,806.823,6358.62,421
62.557,64.3534,4229.48,3208.42,799.418,4376.25,422
234.589,172.061,2941.63,3232.39,799.876,3661.33,423
15.6393,18.7876,3743.7,3316.58,797.542,5793,424
31.2785,36.267,4640.23,3562.9,797.542,5543.5,425
234.589,170.742,2707.39,3179.7,802.544,2453.4,426
297.146,204.725,1730.33,3509.8,803.334,4017.11,427
187.671,147.315,1404.45,3397.64,804.836,4167.67,428
516.095,320.582,1933.46,3152.74,810.88,3119.91,429
78.1963,76.2281,1966.66,3255.56,807.045,3843.8,430
31.2785,35.2916,1970.67,3351.59,806.295,5395.5,431
218.95,161.515,2497.08,3169.75,810.046,3086.93,432
46.9178,50.4766,3302.74,3309.08,808.379,5405.33,433
78.1963,78.5737,895.339,3355.59,810.546,3861.2,434
172.032,139.345,1356.62,3372.28,809.364,3467.45,435
78.1963,78.5631,1980.67,3481.13,809.046,4747.6,436
46.9178,50.4766,3057.66,3569.16,808.379,5222,437
1126.03,542.386,2838.71,3249.16,816.194,7259.82,438
15.6393,18.7876,4051.3,3486.63,812.547,4895,439
234.589,177.686,2929.79,3353.42,818.049,3542.47,440
406.621,258.574,1410.5,3480.57,818.51,3290.88,441
46.9178,50.4662,1417.16,3163.2,817.549,5815.33,442
31.2785,36.2667,4017.54,3171.53,818.799,5839,443
172.032,141.609,4361.39,3273.84,820.731,3545.27,444
2924.54,986.624,3730.87,3467.13,825.706,2596.03,445
281.507,200.086,4038.65,3203.49,824.078,4149.67,446
31.2785,35.2916,2465.82,3446.62,823.8,5051.5,447
78.1963,78.2303,1292.46,3526.64,823.05,4543.6,448
93.8355,90.1153,1443.42,3572.07,826.718,4648.33,449
719.406,403.18,742.521,3388.34,830.65,3245.85,450
234.589,172.02,1916.48,3329.42,832.887,2960.33,451
31.2785,35.2916,2180.73,3591.66,831.303,5301.5,452
1079.11,514.008,3271.5,3158.7,838.606,2568.41,453
2486.64,1041.07,2342.18,3352.88,841.266,2964.85,454
156.393,128.789,1094.15,3503.14,835.054,4277.3,455
46.9178,50.4766,4693.99,3348.25,835.887,4526,456
78.1963,76.2281,1216.94,3390.1,839.555,5206.6,457
